Machine,WorkflowNum,Workflow,Task,Estimator,Feature,SizeInput,Predicted,Real,Deviation,TaskInputSize,WorkflowInputSize,rchar,wchar,PeakRSS,CPUAssigned,CPUUsed
n2,EAGER-0,eager,genotyping_hc,OnlineM,Realtime,19132169434,2196460.56735035,3151150,0.302965403947655,886147299,19132169434,2807332615,1265210136,5449142272,8,130.8
n2,EAGER-0,eager,genotyping_hc,Naive,Realtime,8330435694,847252.026898165,2586578,0.67244288519497,796099016,8330435694,2263101847,766451619,5446979584,8,114.7
n2,EAGER-0,eager,genotyping_hc,Naive,Realtime,25705994498,1046710.18197903,4848044,0.784096393931444,983514845,25705994498,3634506644,2066644469,5452623872,8,133.2
n2,EAGER-0,eager,genotyping_hc,Naive,Realtime,19100037384,942738.7563209,3203084,0.705677791677989,885820715,19100037384,2804815311,1262782349,5425025024,8,130.1
n2,EAGER-0,eager,genotyping_hc,Naive,Realtime,19075314980,942742.62914333,3138085,0.699580276141873,885824354,19075314980,2803983705,1262159109,5441540096,8,131.1
n2,EAGER-0,eager,genotyping_hc,Naive,Realtime,14754556884,924369.628550943,3657452,0.747264043779401,868560627,14754556884,2791086117,1265613452,5376614400,8,122
n2,EAGER-0,eager,genotyping_hc,Naive,Realtime,19132169434,943086.324839879,3151150,0.700716778052495,886147299,19132169434,2807332615,1265210136,5449142272,8,130.8
n2,EAGER-0,eager,genotyping_hc,Lotaru-A,Realtime,8330435694,0,2586578,1,796099016,8330435694,2263101847,766451619,5446979584,8,114.7
n2,EAGER-0,eager,genotyping_hc,Lotaru-A,Realtime,25705994498,0,4848044,1,983514845,25705994498,3634506644,2066644469,5452623872,8,133.2
n2,EAGER-0,eager,genotyping_hc,Lotaru-A,Realtime,19100037384,0,3203084,1,885820715,19100037384,2804815311,1262782349,5425025024,8,130.1
n2,EAGER-0,eager,genotyping_hc,Lotaru-A,Realtime,19075314980,0,3138085,1,885824354,19075314980,2803983705,1262159109,5441540096,8,131.1
n2,EAGER-0,eager,genotyping_hc,Lotaru-A,Realtime,14754556884,0,3657452,1,868560627,14754556884,2791086117,1265613452,5376614400,8,122
n2,EAGER-0,eager,genotyping_hc,Lotaru-A,Realtime,19132169434,0,3151150,1,886147299,19132169434,2807332615,1265210136,5449142272,8,130.8
n2,EAGER-0,eager,genotyping_hc,Perfect,Realtime,8330435694,2586578,2586578,0,796099016,8330435694,2263101847,766451619,5446979584,8,114.7
n2,EAGER-0,eager,genotyping_hc,Perfect,Realtime,25705994498,4848044,4848044,0,983514845,25705994498,3634506644,2066644469,5452623872,8,133.2
n2,EAGER-0,eager,genotyping_hc,Perfect,Realtime,19100037384,3203084,3203084,0,885820715,19100037384,2804815311,1262782349,5425025024,8,130.1
n2,EAGER-0,eager,genotyping_hc,Perfect,Realtime,19075314980,3138085,3138085,0,885824354,19075314980,2803983705,1262159109,5441540096,8,131.1
n2,EAGER-0,eager,genotyping_hc,Perfect,Realtime,14754556884,3657452,3657452,0,868560627,14754556884,2791086117,1265613452,5376614400,8,122
n2,EAGER-0,eager,genotyping_hc,Perfect,Realtime,19132169434,3151150,3151150,0,886147299,19132169434,2807332615,1265210136,5449142272,8,130.8
n2,EAGER-0,eager,qualimap,Lotaru-G,Realtime,8330435694,0,22970,1,796052205,8330435694,152422761,858528,1046495232,2,192.2
n2,EAGER-0,eager,qualimap,Lotaru-G,Realtime,25705994498,0,46033,1,983468034,25705994498,339961863,893827,1617485824,2,192.5
n2,EAGER-0,eager,qualimap,Lotaru-G,Realtime,14754556884,0,31979,1,868513816,14754556884,225005786,866269,1179734016,2,184.7
n2,EAGER-0,eager,qualimap,Lotaru-G,Realtime,19132169434,0,34930,1,886100488,19132169434,242607801,921440,1191911424,2,190.7
n2,EAGER-0,eager,qualimap,Lotaru-G,Realtime,19100037384,0,36069,1,885773904,19100037384,242285441,896994,1219014656,2,190.3
n2,EAGER-0,eager,qualimap,Lotaru-G,Realtime,19075314980,0,33649,1,885777543,19075314980,242284008,899684,1465462784,2,189.7
n2,EAGER-0,eager,qualimap,OnlineP,Realtime,8330435694,21259.3243803493,22970,0.0744743412995518,796052205,8330435694,152422761,858528,1046495232,2,192.2
