Machine,WorkflowNum,Workflow,TaskName,Estimator,Feature,SizeInput,Predicted,Real,Deviation,TaskInputSize,WorkflowInputSize,rchar,wchar,PeakRSS,CPUAssigned,CPUUsed
asok01,EAGER-0,eager,adapter_removal,OnlineP,Realtime,25705994498,1364661.94172358,2437908,0.440232387061538,25705994643,25705994498,13120220351,10005512963,197251072,8,158.5
asok01,EAGER-0,eager,adapter_removal,OnlineP,Realtime,14754556884,783279.648350405,1407518,0.443502926178987,14754557029,14754556884,7482997864,5707204271,196780032,8,158.5
asok01,EAGER-0,eager,adapter_removal,OnlineP,Realtime,19132169434,1015675.29479637,1509824,0.327288945733827,19132169579,19132169434,8649142276,6388203165,191586304,8,168.8
asok01,EAGER-0,eager,adapter_removal,OnlineP,Realtime,19100037384,1013969.49090302,1500139,0.324082974375696,19100037529,19100037384,8624120012,6379729786,195448832,8,168.9
asok01,EAGER-0,eager,adapter_removal,OnlineP,Realtime,19075314980,1012657.04513637,1487290,0.319126031146335,19075315125,19075314980,8663248897,6376818263,196902912,8,169.7
asok01,EAGER-0,eager,adapter_removal,OnlineM,Realtime,8330435694,442240.376430994,804250,0.450120762908307,8330435839,8330435694,4402137051,3300334467,194977792,8,159.4
asok01,EAGER-0,eager,adapter_removal,OnlineM,Realtime,25705994498,1364661.94172358,2437908,0.440232387061538,25705994643,25705994498,13120220351,10005512963,197251072,8,158.5
asok01,EAGER-0,eager,adapter_removal,OnlineM,Realtime,14754556884,783279.648350405,1407518,0.443502926178987,14754557029,14754556884,7482997864,5707204271,196780032,8,158.5
asok01,EAGER-0,eager,adapter_removal,OnlineM,Realtime,19132169434,1015675.29479637,1509824,0.327288945733827,19132169579,19132169434,8649142276,6388203165,191586304,8,168.8
asok01,EAGER-0,eager,adapter_removal,OnlineM,Realtime,19100037384,1013969.49090302,1500139,0.324082974375696,19100037529,19100037384,8624120012,6379729786,195448832,8,168.9
asok01,EAGER-0,eager,adapter_removal,OnlineM,Realtime,19075314980,1012657.04513637,1487290,0.319126031146335,19075315125,19075314980,8663248897,6376818263,196902912,8,169.7
asok01,EAGER-0,eager,adapter_removal,Naive,Realtime,8330435694,453793.651755327,804250,0.435755484295522,8330435839,8330435694,4402137051,3300334467,194977792,8,159.4
asok01,EAGER-0,eager,adapter_removal,Naive,Realtime,25705994498,1400312.94958634,2437908,0.425608780320529,25705994643,25705994498,13120220351,10005512963,197251072,8,158.5
asok01,EAGER-0,eager,adapter_removal,Naive,Realtime,14754556884,803742.378385076,1407518,0.428964760390222,14754557029,14754556884,7482997864,5707204271,196780032,8,158.5
asok01,EAGER-0,eager,adapter_removal,Naive,Realtime,19132169434,1042209.22735044,1509824,0.309714756587233,19132169579,19132169434,8649142276,6388203165,191586304,8,168.8
asok01,EAGER-0,eager,adapter_removal,Naive,Realtime,19100037384,1040458.86031206,1500139,0.306425031072412,19100037529,19100037384,8624120012,6379729786,195448832,8,168.9
asok01,EAGER-0,eager,adapter_removal,Naive,Realtime,19075314980,1039112.12765507,1487290,0.301338590553911,19075315125,19075314980,8663248897,6376818263,196902912,8,169.7
asok01,EAGER-0,eager,adapter_removal,Lotaru-A,Realtime,8330435694,0,804250,1,8330435839,8330435694,4402137051,3300334467,194977792,8,159.4
asok01,EAGER-0,eager,adapter_removal,Lotaru-A,Realtime,25705994498,0,2437908,1,25705994643,25705994498,13120220351,10005512963,197251072,8,158.5
